date,product_id,store_id,quantity,price,promotion_flag
2024-01-01,P001,S01,43,419.48,0
2024-01-01,P001,S02,19,87.08,0
2024-01-01,P001,S03,10,387.2,0
2024-01-01,P001,S04,29,34.79,0
2024-01-01,P001,S05,15,132.29,0
2024-01-01,P001,S06,22,258.64,1
2024-01-01,P001,S07,31,100.15,0
2024-01-01,P001,S08,18,87.67,1
2024-01-01,P001,S09,16,202.89,0
2024-01-01,P001,S10,29,76.64,0
2024-01-01,P002,S01,46,485.2,0
2024-01-01,P002,S02,34,66.27,0
2024-01-01,P002,S03,20,298.03,0
2024-01-01,P002,S04,45,227.4,0
2024-01-01,P002,S05,32,219.59,0
2024-01-01,P002,S06,32,62.67,1
2024-01-01,P002,S07,21,186.5,0
2024-01-01,P002,S08,11,230.68,0
2024-01-01,P002,S09,63,257.34,1
2024-01-01,P002,S10,29,368.96,0
2024-01-01,P003,S01,18,37.96,0
2024-01-01,P003,S02,19,142.86,0
2024-01-01,P003,S03,20,171.65,0
2024-01-01,P003,S04,30,378.46,0
2024-01-01,P003,S05,37,418.93,0
2024-01-01,P003,S06,11,393.15,0
2024-01-01,P003,S07,20,130.23,0
2024-01-01,P003,S08,25,353.25,0
2024-01-01,P003,S09,19,374.71,0
2024-01-01,P003,S10,19,164.46,0
2024-01-01,P004,S01,46,463.91,0
2024-01-01,P004,S02,41,78.63,1
2024-01-01,P004,S03,50,396.69,0
2024-01-01,P004,S04,13,279.8,1
2024-01-01,P004,S05,29,224.42,0
2024-01-01,P004,S06,39,133.6,0
2024-01-01,P004,S07,29,305.33,0
2024-01-01,P004,S08,35,462.07,0
2024-01-01,P004,S09,13,30.15,0
2024-01-01,P004,S10,22,155.37,1
2024-01-01,P005,S01,48,107.12,0
2024-01-01,P005,S02,18,43.64,0
2024-01-01,P005,S03,30,84.59,0
2024-01-01,P005,S04,34,204.84,0
2024-01-01,P005,S05,12,220.11,0
2024-01-01,P005,S06,20,202.14,0
2024-01-01,P005,S07,19,277.01,0
2024-01-01,P005,S08,38,323.8,0
2024-01-01,P005,S09,29,433.15,0
2024-01-01,P005,S10,22,60.56,0
2024-01-01,P006,S01,14,401.66,0
2024-01-01,P006,S02,18,315.76,0
2024-01-01,P006,S03,30,270.86,0
2024-01-01,P006,S04,37,466.99,0
2024-01-01,P006,S05,7,220.93,0
2024-01-01,P006,S06,30,386.02,0
2024-01-01,P006,S07,19,90.94,0
2024-01-01,P006,S08,22,285.44,0
2024-01-01,P006,S09,37,493.58,0
2024-01-01,P006,S10,34,325.8,0
2024-01-01,P007,S01,33,238.07,0
2024-01-01,P007,S02,18,164.93,0
2024-01-01,P007,S03,45,421.71,0
2024-01-01,P007,S04,48,63.41,0
2024-01-01,P007,S05,7,44.8,0
2024-01-01,P007,S06,33,47.47,0
2024-01-01,P007,S07,48,422.23,0
2024-01-01,P007,S08,15,339.92,1
2024-01-01,P007,S09,32,112.66,0
2024-01-01,P007,S10,22,40.33,0
2024-01-01,P008,S01,28,108.1,0
2024-01-01,P008,S02,30,294.76,0
2024-01-01,P008,S03,39,355.89,0
2024-01-01,P008,S04,35,213.94,0
2024-01-01,P008,S05,8,166.26,0
2024-01-01,P008,S06,33,216.22,0
2024-01-01,P008,S07,27,220.83,0
2024-01-01,P008,S08,17,356.96,0
2024-01-01,P008,S09,29,283.59,0
2024-01-01,P008,S10,29,373.62,0
2024-01-01,P009,S01,42,403.94,0
2024-01-01,P009,S02,39,54.59,0
2024-01-01,P009,S03,8,103.04,0
2024-01-01,P009,S04,43,93.73,0
2024-01-01,P009,S05,10,358.6,0
2024-01-01,P009,S06,32,99.64,0
2024-01-01,P009,S07,46,495.35,0
2024-01-01,P009,S08,23,382.56,0
2024-01-01,P009,S09,19,455.41,0
2024-01-01,P009,S10,19,271.34,1
2024-01-01,P010,S01,12,341.7,0
2024-01-01,P010,S02,9,182.46,0
2024-01-01,P010,S03,26,301.82,0
2024-01-01,P010,S04,21,70.39,0
2024-01-01,P010,S05,45,182.65,0
2024-01-01,P010,S06,6,324.21,0
2024-01-01,P010,S07,31,453.6,0
2024-01-01,P010,S08,34,231.24,0
2024-01-01,P010,S09,29,379.99,0
2024-01-01,P010,S10,12,60.71,0
2024-01-01,P011,S01,24,344.15,0
2024-01-01,P011,S02,44,404.42,0
2024-01-01,P011,S03,24,19.94,1
2024-01-01,P011,S04,42,134.08,0
2024-01-01,P011,S05,27,303.35,0
2024-01-01,P011,S06,24,60.71,0
2024-01-01,P011,S07,31,85.67,0
2024-01-01,P011,S08,49,208.34,0
2024-01-01,P011,S09,20,52.24,0
2024-01-01,P011,S10,12,376.31,0
2024-01-01,P012,S01,29,174.8,0
2024-01-01,P012,S02,36,400.15,0
2024-01-01,P012,S03,27,453.23,0
2024-01-01,P012,S04,16,333.4,0
2024-01-01,P012,S05,26,480.69,0
2024-01-01,P012,S06,5,73.57,0
2024-01-01,P012,S07,12,164.99,0
2024-01-01,P012,S08,30,263.92,0
2024-01-01,P012,S09,19,423.78,0
2024-01-01,P012,S10,16,347.96,0
2024-01-01,P013,S01,29,241.17,0
2024-01-01,P013,S02,5,461.04,0
2024-01-01,P013,S03,22,263.9,1
2024-01-01,P013,S04,42,391.01,0
2024-01-01,P013,S05,25,309.64,0
2024-01-01,P013,S06,26,403.62,0
2024-01-01,P013,S07,15,57.49,0
2024-01-01,P013,S08,32,337.07,1
2024-01-01,P013,S09,43,88.98,0
2024-01-01,P013,S10,20,318.46,0
2024-01-01,P014,S01,9,285.7,0
2024-01-01,P014,S02,37,384.04,0
2024-01-01,P014,S03,24,402.09,0
2024-01-01,P014,S04,22,91.7,0
2024-01-01,P014,S05,11,458.04,0
2024-01-01,P014,S06,24,376.02,0
2024-01-01,P014,S07,38,453.91,0
2024-01-01,P014,S08,28,376.93,0
2024-01-01,P014,S09,57,401.43,1
2024-01-01,P014,S10,21,216.39,0
2024-01-01,P015,S01,42,201.06,0
2024-01-01,P015,S02,9,182.95,0
2024-01-01,P015,S03,11,442.9,0
2024-01-01,P015,S04,11,244.84,0
2024-01-01,P015,S05,13,86.14,0
2024-01-01,P015,S06,30,99.35,0
2024-01-01,P015,S07,19,372.86,0
2024-01-01,P015,S08,20,390.73,0
2024-01-01,P015,S09,33,426.31,0
2024-01-01,P015,S10,23,360.92,0
2024-01-01,P016,S01,37,139.24,0
2024-01-01,P016,S02,21,393.13,0
2024-01-01,P016,S03,27,228.59,0
2024-01-01,P016,S04,21,477.54,0
2024-01-01,P016,S05,23,34.43,0
2024-01-01,P016,S06,38,243.21,0
2024-01-01,P016,S07,33,245.0,0
2024-01-01,P016,S08,39,184.35,0
2024-01-01,P016,S09,35,121.74,0
2024-01-01,P016,S10,26,496.82,0
2024-01-01,P017,S01,10,93.12,0
2024-01-01,P017,S02,31,368.57,0
2024-01-01,P017,S03,34,476.03,0
2024-01-01,P017,S04,20,496.07,0
2024-01-01,P017,S05,30,213.51,0
2024-01-01,P017,S06,35,221.26,0
