date,product_id,store_id,promotion_flag
2024-01-01,P001,S01,0
2024-01-01,P001,S02,0
2024-01-01,P001,S03,0
2024-01-01,P001,S04,0
2024-01-01,P001,S05,0
2024-01-01,P001,S06,1
2024-01-01,P001,S07,0
2024-01-01,P001,S08,1
2024-01-01,P001,S09,0
2024-01-01,P001,S10,0
2024-01-01,P002,S01,0
2024-01-01,P002,S02,0
2024-01-01,P002,S03,0
2024-01-01,P002,S04,0
2024-01-01,P002,S05,0
2024-01-01,P002,S06,1
2024-01-01,P002,S07,0
2024-01-01,P002,S08,0
2024-01-01,P002,S09,1
2024-01-01,P002,S10,0
2024-01-01,P003,S01,0
2024-01-01,P003,S02,0
2024-01-01,P003,S03,0
2024-01-01,P003,S04,0
2024-01-01,P003,S05,0
2024-01-01,P003,S06,0
2024-01-01,P003,S07,0
2024-01-01,P003,S08,0
2024-01-01,P003,S09,0
2024-01-01,P003,S10,0
2024-01-01,P004,S01,0
2024-01-01,P004,S02,1
2024-01-01,P004,S03,0
2024-01-01,P004,S04,1
2024-01-01,P004,S05,0
2024-01-01,P004,S06,0
2024-01-01,P004,S07,0
2024-01-01,P004,S08,0
2024-01-01,P004,S09,0
2024-01-01,P004,S10,1
2024-01-01,P005,S01,0
2024-01-01,P005,S02,0
2024-01-01,P005,S03,0
2024-01-01,P005,S04,0
2024-01-01,P005,S05,0
2024-01-01,P005,S06,0
2024-01-01,P005,S07,0
2024-01-01,P005,S08,0
2024-01-01,P005,S09,0
2024-01-01,P005,S10,0
2024-01-01,P006,S01,0
2024-01-01,P006,S02,0
2024-01-01,P006,S03,0
2024-01-01,P006,S04,0
2024-01-01,P006,S05,0
2024-01-01,P006,S06,0
2024-01-01,P006,S07,0
2024-01-01,P006,S08,0
2024-01-01,P006,S09,0
2024-01-01,P006,S10,0
2024-01-01,P007,S01,0
2024-01-01,P007,S02,0
2024-01-01,P007,S03,0
2024-01-01,P007,S04,0
2024-01-01,P007,S05,0
2024-01-01,P007,S06,0
2024-01-01,P007,S07,0
2024-01-01,P007,S08,1
2024-01-01,P007,S09,0
2024-01-01,P007,S10,0
2024-01-01,P008,S01,0
2024-01-01,P008,S02,0
2024-01-01,P008,S03,0
2024-01-01,P008,S04,0
2024-01-01,P008,S05,0
2024-01-01,P008,S06,0
2024-01-01,P008,S07,0
2024-01-01,P008,S08,0
2024-01-01,P008,S09,0
2024-01-01,P008,S10,0
2024-01-01,P009,S01,0
2024-01-01,P009,S02,0
2024-01-01,P009,S03,0
2024-01-01,P009,S04,0
2024-01-01,P009,S05,0
2024-01-01,P009,S06,0
2024-01-01,P009,S07,0
2024-01-01,P009,S08,0
2024-01-01,P009,S09,0
2024-01-01,P009,S10,1
2024-01-01,P010,S01,0
2024-01-01,P010,S02,0
2024-01-01,P010,S03,0
2024-01-01,P010,S04,0
2024-01-01,P010,S05,0
2024-01-01,P010,S06,0
2024-01-01,P010,S07,0
2024-01-01,P010,S08,0
2024-01-01,P010,S09,0
2024-01-01,P010,S10,0
2024-01-01,P011,S01,0
2024-01-01,P011,S02,0
2024-01-01,P011,S03,1
2024-01-01,P011,S04,0
2024-01-01,P011,S05,0
2024-01-01,P011,S06,0
2024-01-01,P011,S07,0
2024-01-01,P011,S08,0
2024-01-01,P011,S09,0
2024-01-01,P011,S10,0
2024-01-01,P012,S01,0
2024-01-01,P012,S02,0
2024-01-01,P012,S03,0
2024-01-01,P012,S04,0
2024-01-01,P012,S05,0
2024-01-01,P012,S06,0
2024-01-01,P012,S07,0
2024-01-01,P012,S08,0
2024-01-01,P012,S09,0
2024-01-01,P012,S10,0
2024-01-01,P013,S01,0
2024-01-01,P013,S02,0
2024-01-01,P013,S03,1
2024-01-01,P013,S04,0
2024-01-01,P013,S05,0
2024-01-01,P013,S06,0
2024-01-01,P013,S07,0
2024-01-01,P013,S08,1
2024-01-01,P013,S09,0
2024-01-01,P013,S10,0
2024-01-01,P014,S01,0
2024-01-01,P014,S02,0
2024-01-01,P014,S03,0
2024-01-01,P014,S04,0
2024-01-01,P014,S05,0
2024-01-01,P014,S06,0
2024-01-01,P014,S07,0
2024-01-01,P014,S08,0
2024-01-01,P014,S09,1
2024-01-01,P014,S10,0
2024-01-01,P015,S01,0
2024-01-01,P015,S02,0
2024-01-01,P015,S03,0
2024-01-01,P015,S04,0
2024-01-01,P015,S05,0
2024-01-01,P015,S06,0
2024-01-01,P015,S07,0
2024-01-01,P015,S08,0
2024-01-01,P015,S09,0
2024-01-01,P015,S10,0
2024-01-01,P016,S01,0
2024-01-01,P016,S02,0
2024-01-01,P016,S03,0
2024-01-01,P016,S04,0
2024-01-01,P016,S05,0
2024-01-01,P016,S06,0
2024-01-01,P016,S07,0
2024-01-01,P016,S08,0
2024-01-01,P016,S09,0
2024-01-01,P016,S10,0
2024-01-01,P017,S01,0
2024-01-01,P017,S02,0
2024-01-01,P017,S03,0
2024-01-01,P017,S04,0
2024-01-01,P017,S05,0
2024-01-01,P017,S06,0
2024-01-01,P017,S07,0
2024-01-01,P017,S08,1
2024-01-01,P017,S09,0
2024-01-01,P017,S10,0
2024-01-01,P018,S01,0
2024-01-01,P018,S02,0
2024-01-01,P018,S03,0
2024-01-01,P018,S04,0
2024-01-01,P018,S05,0
2024-01-01,P018,S06,0
2024-01-01,P018,S07,0
2024-01-01,P018,S08,0
2024-01-01,P018,S09,0
2024-01-01,P018,S10,0
2024-01-01,P019,S01,0
2024-01-01,P019,S02,0
2024-01-01,P019,S03,0
2024-01-01,P019,S04,0
2024-01-01,P019,S05,0
2024-01-01,P019,S06,1
2024-01-01,P019,S07,1
2024-01-01,P019,S08,0
2024-01-01,P019,S09,0
2024-01-01,P019,S10,0
2024-01-01,P020,S01,0
2024-01-01,P020,S02,1
2024-01-01,P020,S03,0
2024-01-01,P020,S04,0
2024-01-01,P020,S05,0
2024-01-01,P020,S06,0
2024-01-01,P020,S07,0
2024-01-01,P020,S08,0
2024-01-01,P020,S09,1
2024-01-01,P020,S10,0
2024-01-01,P021,S01,1
2024-01-01,P021,S02,0
2024-01-01,P021,S03,0
2024-01-01,P021,S04,0
2024-01-01,P021,S05,0
2024-01-01,P021,S06,0
2024-01-01,P021,S07,0
2024-01-01,P021,S08,0
2024-01-01,P021,S09,0
2024-01-01,P021,S10,0
2024-01-01,P022,S01,0
2024-01-01,P022,S02,0
2024-01-01,P022,S03,0
2024-01-01,P022,S04,0
2024-01-01,P022,S05,0
2024-01-01,P022,S06,1
2024-01-01,P022,S07,0
2024-01-01,P022,S08,0
2024-01-01,P022,S09,0
2024-01-01,P022,S10,0
2024-01-01,P023,S01,0
2024-01-01,P023,S02,0
2024-01-01,P023,S03,0
2024-01-01,P023,S04,0
2024-01-01,P023,S05,0
2024-01-01,P023,S06,0
2024-01-01,P023,S07,0
2024-01-01,P023,S08,0
2024-01-01,P023,S09,0
2024-01-01,P023,S10,0
2024-01-01,P024,S01,0
2024-01-01,P024,S02,0
2024-01-01,P024,S03,0
2024-01-01,P024,S04,0
2024-01-01,P024,S05,0
2024-01-01,P024,S06,0
2024-01-01,P024,S07,0
2024-01-01,P024,S08,0
2024-01-01,P024,S09,0
2024-01-01,P024,S10,0
2024-01-01,P025,S01,0
2024-01-01,P025,S02,0
2024-01-01,P025,S03,0
2024-01-01,P025,S04,0
2024-01-01,P025,S05,0
2024-01-01,P025,S06,1
2024-01-01,P025,S07,0
2024-01-01,P025,S08,0
2024-01-01,P025,S09,0
2024-01-01,P025,S10,0
2024-01-01,P026,S01,0
2024-01-01,P026,S02,0
2024-01-01,P026,S03,0
2024-01-01,P026,S04,0
2024-01-01,P026,S05,0
2024-01-01,P026,S06,0
2024-01-01,P026,S07,0
2024-01-01,P026,S08,0
2024-01-01,P026,S09,0
2024-01-01,P026,S10,0
2024-01-01,P027,S01,0
2024-01-01,P027,S02,1
2024-01-01,P027,S03,0
2024-01-01,P027,S04,0
2024-01-01,P027,S05,0
2024-01-01,P027,S06,0
2024-01-01,P027,S07,0
2024-01-01,P027,S08,0
2024-01-01,P027,S09,0
2024-01-01,P027,S10,0
2024-01-01,P028,S01,1
2024-01-01,P028,S02,1
2024-01-01,P028,S03,0
2024-01-01,P028,S04,0
2024-01-01,P028,S05,0
2024-01-01,P028,S06,0
2024-01-01,P028,S07,0
2024-01-01,P028,S08,0
2024-01-01,P028,S09,0
2024-01-01,P028,S10,0
2024-01-01,P029,S01,0
2024-01-01,P029,S02,0
2024-01-01,P029,S03,0
2024-01-01,P029,S04,0
2024-01-01,P029,S05,0
2024-01-01,P029,S06,1
2024-01-01,P029,S07,0
2024-01-01,P029,S08,0
2024-01-01,P029,S09,0
2024-01-01,P029,S10,0
2024-01-01,P030,S01,0
2024-01-01,P030,S02,0
2024-01-01,P030,S03,0
2024-01-01,P030,S04,0
2024-01-01,P030,S05,0
2024-01-01,P030,S06,0
2024-01-01,P030,S07,1
2024-01-01,P030,S08,0
2024-01-01,P030,S09,0
2024-01-01,P030,S10,0
2024-01-01,P031,S01,0
2024-01-01,P031,S02,0
